feature,permutation_scope,auc_drop_mean,auc_drop_sd,top1_drop_mean,top1_drop_sd,mrr_drop_mean,mrr_drop_sd,race_logloss_increase_mean,race_logloss_increase_sd,winner_rank_increase_mean,winner_rank_increase_sd
place_percentage,within-race,0.000570408825438018,0.00025648956060280625,-2.7755575615628915e-18,0.005962847939999437,-0.0008525326525326449,0.002114949036603315,-0.0011020386913928703,0.0009546873384430854,0.0039999999999995595,0.011999999999999912
recent_margin_weighted_6,within-race,-0.0008336577979667137,0.0007436638165818306,-0.0020000000000000018,0.0049888765156985895,-0.0008597865097864754,0.00289156213014555,-0.002679925061153998,0.0017859276516046761,0.03466666666666622,0.018926759422104485
form_ceiling_minus_average,within-race,-0.001685485615401272,4.3086383965644755e-05,0.0006666666666666598,0.0032659863237109047,-0.0008778462278462018,0.002400817754782246,-0.0026257864769453575,0.0006823134064031259,-0.023333333333333782,0.023380903889000146
current_weight_minus_last,within-race,8.544235345009366e-05,3.462983399317539e-05,-0.0020000000000000044,0.0016329931618554558,-0.0008848484848484773,0.0007563990861933447,0.000189328517555154,0.0001928776173310634,-0.0006666666666669485,0.0024944382578493997
historical_step_up_observations,within-race,-0.0004566298940082536,0.0007469142971655164,0.0006666666666666626,0.0024944382578492943,-0.0009387223887223906,0.0019143738459093604,-0.0012949448552654452,0.0013336128039217934,-0.016666666666667142,0.007302967433402302
recent_margin_quality_weighted_3_minus_race_median,within-race,0.0007365347177157533,0.0005230945073824133,0.0,0.0055777335102271675,-0.000950680800680792,0.003000803417861156,0.0003598127068675794,0.0014306017060175494,-3.552713678800501e-16,0.019663841605003472
class_adjusted_margin_quality_weighted_3,within-race,-0.0007268007787150976,0.00026478359579074296,-5.551115123125783e-18,0.0029814239699997203,-0.001023456173456161,0.0022000646581770353,-0.0015700087213785352,0.0007306587039421495,-0.0013333333333335417,0.008055363982396391
historical_run_quality_last1,within-race,8.868699978314964e-06,0.0005142431319962171,-2.7755575615628915e-18,0.0047140452079103175,-0.0010367465867465841,0.0025649247191919934,-0.00120092626674273,0.0012562179797975226,0.013333333333333109,0.011352924243950882
recent_margin_quality_weighted_6,within-race,-6.402768764874889e-05,0.0005643138262644856,-0.0006666666666666682,0.0013333333333333363,-0.001044588744588726,0.0012319323818570154,-0.0003185988976245113,0.0011366570954708909,0.005999999999999517,0.011813363431112762
recent_6_distance_m,within-race,0.00035107073329008196,0.00014898011517054817,-0.0013333333333333363,0.0016329931618554558,-0.0010497354497354006,0.0009492469746457406,0.0006890490073257815,0.00035133954006526106,0.001999999999999602,0.004988876515698348
recent_2_margin,within-race,0.0011098853558295207,0.0001425519036235726,-0.0020000000000000018,0.002666666666666668,-0.0010606893106892667,0.0016395308753271566,0.002256526720758778,0.0004291056016760576,0.017333333333332847,0.014966629547095756
recent_margin_quality_weighted_3_pct_in_race,within-race,-0.0016069651741293712,0.000563476492098428,-0.000666666666666671,0.0038873012632301995,-0.0010752506752506608,0.0022809622345940635,-0.002548390987721305,0.001112743774618298,0.007333333333332881,0.011813363431112783
last3_place_percentage,within-race,-0.0002656283798399439,0.0001281488805127238,-0.0026666666666666726,0.0013333333333333363,-0.001091245791245765,0.0008493869313152951,-0.0005846945948194459,0.0002429435696588837,-0.00200000000000049,0.010873004286866814
recent_3_track_status_value,within-race,-5.472636815926357e-05,0.00016259761310426495,0.0,0.0,-0.0010968790468790512,0.0003620996362279854,0.00022195898942705127,0.0002757030890491568,-0.004666666666667041,0.0045215533220838
recent_margin_slope_6,within-race,0.0012967769846419452,0.0005891103961749602,-0.0040000000000000036,0.0032659863237109016,-0.0011049302549302365,0.002595618465597822,0.0025986830372965565,0.0017090740105735714,0.033999999999999454,0.029544693074880633
recent_finish_percentile_avg3_minus_avg6,within-race,-0.0022597880164395346,0.0007417960123840135,-0.004000000000000001,0.004898979485566353,-0.0011297646797646665,0.0031532930771392166,-0.004659605251245225,0.0014456579838390395,0.01266666666666616,0.018903262505010295
recent_wins,within-race,8.522604369456399e-05,9.52509883278011e-05,-0.0020000000000000018,0.002666666666666668,-0.0011318810818810809,0.0013401773613129606,8.749887248278298e-05,0.0002273245733688585,0.0006666666666664157,0.0024944382578493043
same_track_top3_rate,within-race,-0.0011579061215661213,0.0009030176085929176,-0.000666666666666671,0.0038873012632302043,-0.0011860195360194892,0.002214762809297898,-0.0027385302347771477,0.0017713750356065895,0.0006666666666660604,0.02037427571991493
recent_6_place,within-race,-0.0005485615401255251,0.000857055284237986,0.001333333333333331,0.004521553322083516,-0.001188492988492984,0.0033887965793007874,-0.003037209119817774,0.001596327514967764,0.0046666666666663305,0.021868292622475544
similar_distance_margin_quality_weighted,within-race,-0.0008126757516764282,0.0003467254435603139,-0.000666666666666671,0.0024944382578492956,-0.0012425481925481875,0.0010304242625793643,-0.0009048292772765975,0.0004323541507490092,-0.01000000000000032,0.009428090415820788
distance_starts,within-race,9.474367293962337e-05,0.000319228497937893,-0.0013333333333333391,0.002666666666666668,-0.0012505587005586683,0.0015968562146124433,-0.00047083954267472804,0.0007854795455646606,-0.00200000000000049,0.014079141387962074
distance_m,race-block,6.056673155896419e-06,0.00010623121631056506,-0.002666666666666667,0.004898979485566353,-0.0012629148629148435,0.0024204834803155614,0.0001866992413099844,0.00037928441255483906,0.0073333333333327035,0.00742368581710674
recent_avg_similar_distance_speed_mps,within-race,5.094094743667288e-05,0.000255911536601405,-0.004666666666666666,0.00748331477354788,-0.001278617678617666,0.004029754453805203,-0.0007846323349371076,0.001002320901252951,0.013999999999999523,0.02037427571991476
dry_rating,within-race,0.0033715120051914125,0.0015429284647029125,-0.004000000000000001,0.0038873012632301986,-0.0012888537388537125,0.002620777550190875,0.003316475692768872,0.002875476535506237,0.06066666666666638,0.01730767331432963
similar_distance_finish_percentile_weighted,within-race,0.0005045425048669338,0.00022285731824552433,-0.005333333333333334,0.004988876515698584,-0.001290339290339293,0.003257487132655896,0.0002973796157774267,0.0004090661599831845,0.021999999999999707,0.010873004286866716
sectional_closing_speed_ratio_weighted_3,within-race,-0.0003853558295479509,0.0004281662425077759,-0.000666666666666671,0.0024944382578492956,-0.00129535649535647,0.0013897397449161295,-0.0008275794956868587,0.0008344466319925865,0.007333333333333058,0.015972198067614473
jockey_trainer_history_top3_rate,within-race,0.0001639627947220168,0.00021554113929985353,-0.0013333333333333363,0.003399346342395189,-0.0013043049543049357,0.002078488431137624,0.0007778042369798399,0.0005338430751208445,0.005333333333332924,0.008055363982396332
condition_win_rate_smoothed,within-race,0.0008230586199437396,0.0008365196355215093,-0.0013333333333333363,0.005811865258054231,-0.001323879823879792,0.00308104885488368,0.0017579180330085542,0.002016088876369335,0.000666666666666238,0.010413666234542105
similar_distance_finish_percentile_weighted_minus_race_median,within-race,-0.00013692407527583496,0.00017826417546996159,-0.0033333333333333353,0.0029814239699997203,-0.0013273929773929606,0.0014611546748794265,-0.00038126656552650573,0.00043529168047025006,0.025333333333332854,0.009568466729604708
hidden_sectional_run_best_3,within-race,4.715552671425982e-05,0.0004221176114033711,-0.0013333333333333391,0.002666666666666668,-0.0013390461390461294,0.0007420954524580736,-0.00025887339455632485,0.0008660832896857468,-0.0033333333333338544,0.019206480387850406
best_finish_percentile_at_stronger_class,within-race,0.0010220635950681123,0.0006368990884193583,-0.0020000000000000044,0.004988876515698585,-0.0013570041070041007,0.0024257516541223065,0.0017867051680846124,0.0011481821841535778,0.019333333333332803,0.01289271973720914
